	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Resource quest rollover	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)
Resource quest log	Vigyél %s-t %s-hoz.	Vigyél %s-t %s-hoz.	Vigyél %s-t %s-hoz.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.	Keresd meg a %s-t, hogy kinyisd a kaput.
Be hero quest	Akire szükségem van az %s maga.  Senki másnak nem adom oda.	Amim van azt csak %s maga kaphatja meg.  Senki másnak nem fogom odaadni.	Amim van azt csakis %s kaphatja meg.  Senki másnak nem fogom odaadni.	Az itteni õrök azt mondják, hogy parancsuk van, hogy csak %s mehessen át.	Az itteni õrök azt mondják hogy parancsuk van, hogy csak %s mehessen át.	Az itteni õrök azt mondják, hogy parancsuk van, hogy csak %s mehessen át.	Az itteni õrök azt mondják, hogy parancsuk van, hogy csak %s mehessen át.	Az itteni õrök azt mondják, hogy parancsuk van, hogy csak %s mehessen át.	Az itteni õrök azt mondják hogy parancsuk van, hogy csak %s mehessen át.
Be hero quest progress	Te nem %s vagy.  Távozz!	Te nem vagy %s.  Távozz!	Te nem vagy %s.  Távozz!	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.	Az itteni õrök csak %s-nak/nek engedélyezik a továbbjutást.
Be hero quest complete	Végre!  Te vagy az, %s.  Ezt a számodra tartogattam.  Elfogadod?	Végre!  Te vagy az, %s.  Ezt tartogattam számodra.  Elfogadod?	Végre!  Te vagy az, %s.  Ezt tartogattam számodra.  Elfogadod?	Végre itt van %s.  Óhajtassz átmenni?	Végre itt van %s.  Óhajtassz átmenni?	Végre itt van %s.  Óhajtassz átmenni?	Végre itt van %s.  Óhajtassz átmenni?	Végre itt van %s.  Óhajtassz átmenni?	Végre itt van %s.  Óhajtassz átmenni?
Be hero quest rollover	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)	(keress %s-t)
Be hero quest log	Vidd %s-t %s-hoz.	Vidd %s-t %s-hoz.	Vidd %s-t %s-hoz.	Küldd %s-t a kapu kinyitásához	Küldd %s-t a kapu kinyitásához	Küldd %s-t a kapu kinyitásához	Küldd %s-t a kapu kinyitásához.	Küldd %s-t a kapu kinyitásához.	Küldd %s-t a kapu kinyitásához.
Belong to player quest	Jutalmam van a %s zászló birtokosa számára.	Jutalmam van a %s zászló birtokosának számára.	Jutalmam van a %s zászló birtokosának számára.	Az õrök azt mondják, hogy csak azt engedik át aki a %s zászlót hordozza.	Az õrök azt mondják hogy csak azt engedik át aki a %s zászlót hordozza.	Az õrök azt mondják, hogy csak azt engedik át aki a %s zászlót hordozza.	Az õrök azt mondják, hogy csak azt engedik át aki a %s zászlót hordozza.	Az õrök azt mondják, hogy csak azt engedik át aki a %s zászlót hordozza.	Az õrök azt mondják hogy csak azt engedik át aki a %s zászlót hordozza.
Belong to player quest progress	A Te zászlód nem %s.  Semmim sincs számodra. Távozz!	A Te zászlód nem %s.  Semmim sincs számodra. Távozz!	A Te zászlód nem %s.  Semmim sincs számodra. Távozz!	Az itteni õrök azt engedik át aki a %s zászlót hordozza.	Az itteni õrök azt engedik át aki a %s zászlót hordozza.	Az itteni õrök azt engedik át aki a %s zászlót hordozza.	Az itteni õrök azt engedik át aki a %s zászlót hordozza.	Az itteni õrök azt engedik át aki a %s zászlót hordozza.	Az itteni õrök azt engedik át aki a %s zászlót hordozza.
Belong to player quest complete	Ah, valaki aki a %s zászlót hordozza.  Itt a jutalmad.  Elfogadod?	Ah, valaki aki a %s zászlót hordozza.  Itt a jutalmad.  Elfogadod?	Ah, valaki aki a %s zászlót hordozza.  Itt a jutalmad.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?	Az õrök észreveszik %s zászlódat és felajánlják az átjutást.  Elfogadod?
Belong to player quest rollover	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)	(keresi a %s zászlós hõst)
Belong to player quest log									
Belong to class quest	Van egy ajándékom, ha %s vagy.	Van egy ajándékom, ha %s vagy.	Van egy ajándékom, ha %s vagy.	Az õrök azt mondják, hogy csak %s-t engedik át.	Az õrök azt mondják, hogy csak %s-t engedik át.	Az õrök azt mondják, hogy csak %s-t engedik át.	Az õrök azt mondják, hogy csak %s-t engedik át.	Az õrök azt mondják, hogy csak %s-t engedik át.	Az õrök azt mondják, hogy csak %s-t engedik át.
Belong to class quest progress	Nem vagy %s.  Nincs semmim számodra.Távozz!	Nem vagy %s.  Nincs semmim számodra.Távozz!	Nem vagy %s.  Nincs semmim számodra.Távozz!	Az itt lévõ õrök csak %s-t engedik át.	Az itt lévõ õrök csak %s-t engedik át.	Az itt lévõ õrök csak %s-t engedik át.	Az itt lévõ õrök csak %s-t engedik át.	Az itt lévõ õrök csak %s-t engedik át.	Az itt lévõ õrök csak %s-t engedik át.
Belong to class quest complete	Ah, Te egy %s vagy.  Íme egy ajándék, tessék. Elfogadod?	Ah, Te egy %s vagy.  Íme egy ajándék, tessék. Elfogadod?	Ah, Te egy %s vagy.  Íme egy ajándék, tessék. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?	Az õrök feljegyzik, hogy %s szintû vagy, és felajánlják, hogy átengednek. Elfogadod?
Belong to class quest rollover	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)	(%s osztály hõsét keresi)
Belong to class quest log	Küld el %s a(z) %s-hoz.	Küld el %s a(z) %s-hoz.	Küld el %s a(z) %s-hoz.	Küld el %s a kapu kinyitásához.	Küld el %s a kapu megnyitásához.	Küld el %s a kapun való átjutáshoz.	Küld el %s a kapu kinyitásához.	Küld el %s a kapu megnyitásához.	Küld el %s a kapun való átjutáshoz.
Wait quest	Elfoglalt vagyok. Ne gyere vissza %s elõtt.	Nem érek rá most. Ne gyere vissza %s elõtt.	Elfoglalt vagyok most. Kérlek ne gyere vissza %s elõtt.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.
Wait quest progress	Elfoglalt vagyok. Ne gyere vissza %s elõtt.	Nem érek rá most. Ne gyere vissza %s elõtt.	Elfoglalt vagyok most. Kérlek ne gyere vissza %s elõtt.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.	%s-ig zárva.
Wait quest complete	Most ráérek. Íme egy ajándék, amit neked adok. Elfogadod?	Most végre van egy kis szabadidõm. Íme az ajándékom, amit most átadok. Elfogadod?	Most végre itthon vagyok. Íme az ajándékom, amit adok neked. Elfogadod?	Most szabadon átmehetsz. Át akarsz menni?	Most szabadon átmehetsz. Át szeretnél menni?	Most átmehetsz. Át szeretnél menni?	Most szabadon átmehetsz. Át akarsz menni?	Most szabadon átmehetsz. Át szeretnél menni?	Most szabadon átmehetsz. Át akarsz menni?
Wait quest rollover	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)	(%s elõtt nem térhetsz vissza)
Wait quest log	Várjon, amíg %s a következõre: %s	Várjon, amíg %s a következõre: %s	Várjon, amíg %s a következõre: %s	Várj, amíg %s megnyitja a kaput.	Várj még kérlek addig, amíg %s megnyitja a kaput.	Várj, amíg %s megnyitja végre a kaput.	Várj, amíg %s átmegy a kapun.	Várj még kérlek addig, amíg %s átmegy a kapun.	Várj, amíg %s átmegy végre a kapun.

Time limit	Vissza kell térned %d napon belül.	Vissza kell térned %d napon belül.	Vissza kell térned %d napon belül.	Vissza kell térned %d napon belül.	Vissza kell térned %d napon belül.	Vissza kell térned %d napon belül.	A kapu %d nap múlva is nyitva lesz.	A kapu %d nap múlva is nyitva lesz.	A kapu %d nap múlva is nyitva lesz.
									
Seer Hut Names (48)									
Abraham									
Goldwyn									
Bryce									
Blain									
Engle									
Carsten									
Dulcie									
Donard									
Esslock									
Evander									
Frederick									
Fay									
Genevieve									
Horace									
Heather									
Ike									
Jhem									
Julius									
Joseph									
Kae									
Kendrick									
Lynwood									
Kyriell									
Marigold									
Norwood									
Clova									
Tim									
Gier									
Paige									
Pierce									
Rae									
Raphael									
Rex									
Hester									
Spiridion									
Skye									
Rival									
Timeus									
Sulmand									
Rizlav									
Violet									
Wendell									
Winston									
Xanthe									
Xavier									
Yvette									
Zaray									
Zoe									
