			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Gyógyítás	Gyógyítás	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Gyógyítás}

Az összes ártó varázslatot eltávolítja a kiválasztott egységrõl és egy kis százalékban visszaállítja az életpontjait.
"	"{Alap Gyógyítás}

Az összes ártó varázslatot eltávolítja a kiválasztott egységrõl és egy kis százalékban visszaállítja az életpontjait.
"	"{Haladó Gyógyítás}

Az összes ártó varázslatot eltávolítja a kiválasztott egységrõl és egy kis százalékban visszaállítja az életpontjait.

A sérülés gyógyítás 10-zel több, mint az Alap Gyógyításé.
"	"{Mester Gyógyítás}

Az összes ártó varázslatot eltávolítja a kiválasztott egységrõl és egy kis százalékban visszaállítja az életpontjait.

A sérülés gyógyítás 20-szal több, mint az Alap Gyógyításé.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Feltámasztás 	Feltámasztás 	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Feltámasztás}

Feltámasztja a kiválasztott élõlényt.
"	"{Alap Feltámasztás}

Feltámasztja a kiválasztott élõlényt.
"	"{Haladó Feltámasztás}

Feltámasztja a kiválasztott élõlényt.

Az Alap Feltámasztásnál hatékonyabban használható.
"	"{Mester Feltámasztás}

Feltámasztja a kiválasztott élõlényt.

A Haladó Feltámasztásnál hatékonyabban használható.
"	 COMBAT_SPELL|CREATURE_TARGET
Halott élesztés	Halott élesztés	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Halott élesztés}

A Halott élesztés egy bizonyos számú lényt éleszt fel bármelyik élõhalott lénybõl.
"	"{Alap Halott élesztés}

A Halott élesztés egy bizonyos számú lényt éleszt fel bármelyik élõhalott lénybõl.
"	"{Haladó Halott élesztés}

A Halott élesztés egy bizonyos számú lényt éleszt fel bármelyik élõhalott lénybõl.

A felélesztés során 30-cal több életpontot használ fel, mint az Alap Halott élesztés.
"	"{Mester Halott élesztés}

A Halott élesztés egy bizonyos számú lényt éleszt fel bármelyik élõhalott lénybõl.

A felélesztés során 130-cal több életpontot használ fel, mint az Alap Halott élesztés.
"	 COMBAT_SPELL|CREATURE_TARGET
Áldozás	Áldozás	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Áldozás}

Az Áldozás elõször egy saját sereget pusztít el, azután egy másikat kiválasztva annak ÉletPontjai számát növeli meg.  Ez a szám függ a varázsló varázserejétõl és a feláldozott sereg életpontjaitól.
"	"{Alap Áldozás}

Az Áldozás elõször egy saját sereget pusztít el, azután egy másikat kiválasztva annak ÉletPontjai számát növeli meg.  Ez a szám függ a varázsló varázserejétõl és a feláldozott sereg életpontjaitól.
"	"{Haladó Áldozás}

Az Áldozás elõször egy saját sereget pusztít el, azután egy másikat kiválasztva annak ÉletPontjai számát növeli meg.  Ez a szám függ a varázsló varázserejétõl és a feláldozott sereg életpontjaitól.

"	"{Mester Áldozás}

Az Áldozás elõször egy saját sereget pusztít el, azután egy másikat kiválasztva annak ÉletPontjai számát növeli meg.  Ez a szám függ a varázsló varázserejétõl és a feláldozott sereg életpontjaitól.

"	 COMBAT_SPELL|CREATURE_TARGET
Áldás	Áldás	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Áldás}

Az Áldás segítségével a kiválasztott lény maximális sebzést okoz.
"	"{Alap Áldás}

Az Áldás segítségével a kiválasztott lény maximális sebzést okoz.
"	"{Haladó Áldás}

Az Áldás segítségével a célsereg maximális sebzést okoz.
"	"{Mester Áldás}

A Mester Áldás segítségével a sereged összes lénye maximális sebzést okoz.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Átok 	Átok 	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Átok}

Az Átok segítségével a kiválasztott lény minimális sebzést okoz.
"	"{Alap Átok}

Az Átok segítségével a kiválasztott lény minimális sebzést okoz.
"	"{Haladó Átok}

Az Átok segítségével az összes ellenséges lény minimális sebzést okoz.
"	"{Mester Átok}

A Mester Átok segítségével az összes ellenséges lény a minimális sebzési értéke alatt sebez.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Vérszomj	Vérszomj	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Vérszomj}

A Vérszomj a közelharcban a kiválasztott lény számára nagyobb sebzést garantál. +3 támadó erõ.
"	"{Alap Vérszomj}

A Vérszomj a közelharcban a kiválasztott lény számára nagyobb sebzést garantál. +3 támadó erõ.
"	"{Haladó Vérszomj}

A Vérszomj a közelharcban a kiválasztott lény számára nagyobb sebzést garantál. +6 támadó erõ. 

A Haladó Vérszomj kétszer nagyobb sebzést garantál, mint az Alap Vérszomj.
"	"{Mester Vérszomj}

A Vérszomj a közelharcban az összes baráti lény számára nagyobb sebzést garantál. +6 támadó erõ. 

A Mester Vérszomj kétszer nagyobb sebzést garantál, mint a Haladó Vérszomj.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Pontosság	Pontosság	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Pontosság}

A Pontosság a távoli támadás során a kiválasztott lény számára nagyobb sebzést garantál. +3 támadó erõ.
"	"{Alap Pontosság}

A Pontosság a távoli támadás során a kiválasztott lény számára nagyobb sebzést garantál. +3 támadó erõ.
"	"{Haladó Pontosság}

A Pontosság a távoli támadás során a kiválasztott lény számára nagyobb sebzést garantál. +6 támadó erõ. 

A Haladó Pontosság kétszer nagyobb sebzést garantál, mint az Alap Pontosság.
"	"{Mester Pontosság}

A Pontosság a távoli támadás során az összes baráti lény számára nagyobb sebzést garantál.

 +6 támadó erõ. A Mester Pontosság kétszer nagyobb sebzést garantál, mint a Haladó Pontosság.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyengeség	Gyengeség	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Gyengeség}

A Gyengeség a kiválasztott lény sebzését csökkenti.
 -3 támadó erõ."	"{Alap Gyengeség}

A Gyengeség kiválasztott lény sebzését csökkenti. -3 támadó erõ.
"	"{Haladó Gyengeség}

A Gyengeség a kiválasztott lény sebzését csökkenti.

 -6 támadó erõ. A Haladó Gyengeségnek kétszer nagyobb a hatása, mint az Alap Gyengeségnek.
"	"{Mester Gyengeség}

A Gyengeség a kiválasztott lény sebzését csökkenti. -3 támadó erõ. 

A Mester Gyengeségnek kétszer nagyobb a hatása, mint a Haladó Gyengeségnek.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Kõbõr	Kõbõr	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Kõbõr}

Növeli a kiválasztott lény védelmét 3-mal.
"	"{Alap Kõbõr}

Növeli a kiválasztott lény védelmét 3-mal.
"	"{Haladó Kõbõr}

Növeli a kiválasztott lény védelmét 6-tal.

A Haladó Kõbõrnek kétszer nagyobb a hatása, mint az Alap Kõbõrnek.
"	"{Mester Kõbõr}

Növeli az összes baráti lény védelmét 6-tal.

A Mester Kõbõrnek kétszer nagyobb a hatása, mint a Haladó Kõbõrnek.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyengítõ Sugár	Gyengítõ Sugár	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Gyengítõ Sugár}

A Gyengítõ Sugár a kiválasztott lény védelmét 3-mal csökkenti. Fontos: egy lényre többször is lehet használni ezt a varázslatot.
"	"{Alap Gyengítõ Sugár}

A Gyengítõ Sugár a kiválasztott lény védelmét csökkenti 3-mal.
"	"{Haladó Gyengítõ Sugár}

A Gyengítõ Sugár a kiválasztott lény védelmét csökkenti 4-gyel. Fontos: egy lényre többször is lehet használni ezt a varázslatot.

A hatása jóval nagyobb, mint az Alap Gyengítõ Sugárnak.
"	"{Mester Gyengítõ Sugár}

A Gyengítõ Sugár a kiválasztott lény védelmét csökkenti 5-tel. Fontos: egy lényre többször is lehet használni ezt a varázslatot.

A hatása jóval nagyobb, mint a Haladó Gyengítõ Sugárnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Imádság	Imádság	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Imádság}2-vel m
egnöveli a kiválasztott lény sebzési és védekezési képességeit, valamint felgyorsítja azt.
"	"{Alap Imádság}

Megnöveli a kiválasztott lény sebzési és védekezési képességeit, valamint felgyorsítja azt.
"	"{Haladó Imádság}

Megnöveli 4-gyel a kiválasztott lény sebzési és védekezési képességeit, valamint felgyorsítja azt.

A hatása kétszer nagyobb, mint az Alap Imádságnak.
"	"{Mester Imádság}

Megnöveli a sereged összes egységének a sebzési és védekezési képességeit, valamint felgyorsítja azt.

A hatása kétszer nagyobb, mint az Alap Imádságnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Jókedv	Jókedv	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Jókedv}A kiválasztott lény hangulatát 

1-gyel növeli.
"	"{Alap Jókedv}A kiválasztott lény hangulatát 

1-gyel növeli.
"	"{Haladó Jókedv}

A kiválasztott lény hangulatát 

2-vel növeli.

A hatása kétszer nagyobb, mint az Alap Hangulaté.
"	"{Mester Jókedv}

A sereged összes egységének hangulatát 

2-vel növeli.

A hatása kétszer nagyobb, mint az Alap Hangulaté.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Bánat	Bánat	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Bánat}A kiválasztott lény hangulatát 1-gyel csökkenti.
"	"{Alap Bánat}

A kiválasztott lény hangulatát 1-gyel csökkenti."	"{Haladó Bánat}
A kiválasztott lény hangulatát 2-vel csökkenti.

A hatása kétszer nagyobb, mint az Alap Bánaté.
"	"{Mester Bánat}

Az összes ellenséges lény hangulatát 2-vel csökkenti.

A hatása kétszer nagyobb, mint az Alap Bánaté.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Szerencse	Szerencse	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Szerencse}

A Szerencse a kiválasztott egység szerencséjét 1-gyel növeli.
"	"{Alap Szerencse}

A Szerencse a kiválasztott egység szerencséjét 1-gyel növeli.

"	"{Haladó Szerencse}



A Szerencse a kiválasztott egység szerencséjét 2-vel növeli.A hatása kétszer nagyobb, mint az Alap Szerencséjé.
"	"{Mester Szerencse}

A Szerencse sereged összes egységének szerencséjét 2-vel növeli.

A hatása kétszer nagyobb, mint az Alap Szerencséjé.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Balszerencse	Balszerencse	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Balszerencse}

A Balszerencse a kiválasztott lény szerencséjét 1-gyel csökkenti.
"	"{Alap Balszerencse}

A Balszerencse a kiválasztott lény szerencséjét 1-gyel csökkenti.

Fele annyi varázspontot kell csak felhasználni, mint a normál Balszerencse varázslásánál.
"	"{Haladó Balszerencse}

A Balszerencse a kiválasztott lény szerencséjét 2-vel csökkenti.

A hatása kétszer nagyobb, mint az Alap Balszerencséjé.
"	"{Mester Balszerencse}

A Balszerencse az összes ellenséges lény szerencséjét 2-vel csökkenti.

A hatása kétszer nagyobb, mint az Alap Balszerencséjé.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyorsítás	Gyorsítás	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Gyorsítás}

Növeli a kiválasztott egység sebességét 3-mal.
"	"{Alap Gyorsítás}

Növeli a kiválasztott egység sebességét 3-mal.
"	"{Haladó Gyorsítás}

Növeli a kiválasztott egység sebességét 5-tel.

A hatása kétszer nagyobb, mint az Alap Gyorsításé.
"	"{Mester Gyorsítás}

Növeli az összes egységed sebességét 5-tel.

A hatása kétszer nagyobb, mint az Alap Gyorsításé.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Lassítás	Lassítás	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Lassítás}

Csökkenti a kiválasztott egység sebességét 25%-kal.
"	"{Alap Lassítás}

Csökkenti a kiválasztott egység sebességét 25%-kal.
"	"{Haladó Lassítás}

Csökkenti a kiválasztott egység sebességét 50%-kal.

A hatása kétszer nagyobb, mint az Alap Lassításé.
"	"{Mester Lassítás}

Csökkenti az összes ellenséges egység sebességét 50%-kal.

A hatása kétszer nagyobb, mint az Alap Lassításé.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mészárlás	Mészárlás	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Mészárlás}

Megnövelt sebzést tesz lehetõvé a Sárkányok, Behemótok és Hidrák elleni harcok során.
"	"{Alap Mészárlás}

Megnövelt sebzést tesz lehetõvé a Sárkányok, Behemótok és Hidrák elleni harcok során.
"	"{Haladó Mészárlás}

Megnövelt sebzést tesz lehetõvé a Sárkányok, Behemótok, Hidrák, Ördögök és Angyalok elleni harcok során.
"	"{Mester Mészárlás}

Megnövelt sebzést tesz lehetõvé a Sárkányok, Behemótok, Hidrák, Ördögök, Angyalok és Titánok elleni harcok során.
"	 COMBAT_SPELL|CREATURE_TARGET
Dühöngés	Dühöngés	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Dühöngés}

A kiválasztott lény védekezését csökkentve megnöveli a lény támadási értékét.
"	"{Alap Dühöngés}

A kiválasztott lény védekezését csökkentve megnöveli a lény támadási értékét.
"	"{Haladó Dühöngés}

A kiválasztott lény védekezését csökkentve megnöveli a lény támadási értékét.

A támadási értékhez 50%-kal több adódik hozzá, mint az Alap Dühöngésnél.
"	"{Mester Dühöngés}

A kiválasztott lény védekezését csökkentve megnöveli a lény támadási értékét.

A támadási értékhez 100%-kal több adódik hozzá, mint az Alap Dühöngésnél.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titáni csapás	Titáni csapás	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Titáni csapás}

600 sérüléspontot okoz a kiválasztott egységen, ráadásul nem használ fel varázspontot."	"{Titáni csapás}

600 sérüléspontot okoz a kiválasztott egységen, ráadásul nem használ fel varázspontot."	"{Titáni csapás}

600 sérüléspontot okoz a kiválasztott egységen, ráadásul nem használ fel varázspontot."	"{Titáni csapás}

600 sérüléspontot okoz a kiválasztott egységen, ráadásul nem használ fel varázspontot."	
Visszatámadás	Visszatámadás	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Visszatámadás}

A kiválasztott sereg körönként +1 támadást viszonozhat a támadóknak.
"	"{Alap Visszatámadás}

A kiválasztott sereg körönként +1 támadást viszonozhat a támadóknak.
"	"{Haladó Visszatámadás}

A kiválasztott sereg körönként +2 támadást viszonozhat a támadóknak.
"	"{Mester Visszatámadás}

Az összes egységünk körönként +2 támadást viszonozhat a támadóknak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Õrjöngés	Õrjöngés	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Õrjöngés}

Az Õrjöngéssel a célsereget a hozzá legközelebbi sereg (mindegy, hogy ellenséges vagy saját) megtámadására késztetjük.
"	"{Alap Õrjöngés}

Az Õrjöngéssel a célsereget a hozzá legközelebbi sereg (mindegy, hogy ellenséges vagy saját) megtámadására késztetjük.
"	"{Haladó Õrjöngés}

Az Õrjöngéssel a célsereget a hozzá legközelebbi sereg (mindegy, hogy ellenséges vagy saját) megtámadására késztetjük.

A hatása hat egységnyi távolsággal nagyobb, mint az Alap Õrjöngésnek.
"	"{Mester Õrjöngés}

Az Õrjöngéssel a célsereget a hozzá legközelebbi sereg (mindegy, hogy ellenséges vagy saját) megtámadására késztetjük.

A hatása tizennyolc egységnyi távolsággal nagyobb, mint az Alap Õrjöngésnek.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hipnotizálás	Hipnotizálás	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hipnotizálás}

Hipnotizálással a célsereget irányításunk alá vonhatjuk.
"	"{Alap Hipnotizálás}

Hipnotizálással a célsereget irányításunk alá vonhatjuk.
"	"{Haladó Hipnotizálás}

Hipnotizálással a célsereget irányításunk alá vonhatjuk.
"	"{Mester Hipnotizálás}

Hipnotizálással a célsereget irányításunk alá vonhatjuk.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Feledékenység	Feledékenység	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Feledékenység}

A Feledékenység az ellenség egy távolsági egységének felét akadályozhatja meg abban, hogy a csata folyamán távolról támadjon.
"	"{Alap Feledékenység}

A Feledékenység a kiválasztott egység felét megakadályozza abban, hogy a csata folyamán távolról támadjon. 
"	"{Haladó Feledékenység}

A Haladó Feledékenység a kiválasztott egységet akadályozza meg abban, hogy a csata folyamán távolról támadjon. 
"	"{Mester Feledékenység}

A Mester Feledékenység az összes ellenséges egységet megakadályozza abban, hogy a csata folyamán távolról támadjon. 
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Vakítás	Vakítás	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Vakítás}

Ha a Vakítást használod a kiválasztott egységre, akkor az nem képes mozdulni, és visszatámadni is csak a normál erejének a felével tud. Egy lény addig vak, amíg azt meg nem támadják vagy nem alkalmazzák rajta az Eloszlatás varázslatot.
"	"{Alap Vakítás}

Ha a Vakítást használod a kiválasztott egységre, akkor az nem képes mozdulni, és visszatámadni is csak a normál erejének a felével tud. Egy lény addig vak, amíg azt meg nem támadják vagy nem alkalmazzák rajta az Eloszlatás varázslatot.
"	"{Haladó Vakítás}

Ha a Haladó Vakítást használod a kiválasztott egységre, akkor az nem képes mozdulni, és visszatámadni is csak a normál erejének a negyedével tud. Egy lény addig vak, amíg azt meg nem támadják vagy nem alkalmazzák rajta az Eloszlatás varázslatot.
"	"{Mester Vakítás}

Ha a Haladó Vakítást használod a kiválasztott egységre, akkor az nem képes mozdulni, és visszatámadni. Egy lény addig vak, amíg azt meg nem támadják vagy nem alkalmazzák rajta az Eloszlatás varázslatot.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleportálás	Teleportálás	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleportálás}

A Teleportálás a kijelölt sereget azonnal átviszi a csatatér egyik pontjáról a másik megadott pontra.
"	"{Alap Teleportálás}

A Teleportálás a kijelölt sereget azonnal átviszi a csatatér egyik pontjáról a másik megadott pontra.

A sereget nem lehet fal vagy sánc mögé teleportálni.
"	"{Haladó Teleportálás}

A Teleportálás a kijelölt sereget azonnal átviszi a csatatér egyik pontjáról a másik megadott pontra.

A sereget nem lehet fal mögé teleportálni.
"	"{Mester Teleportálás}

A Teleportálás a kijelölt sereget azonnal átviszi a csatatér egyik pontjáról a másik megadott pontra.
"	 COMBAT_SPELL|CREATURE_TARGET
Akadály Törlés	Akadály Törlés	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Akadály Törlés}

Bármely normál akadályt (fák, sziklák, stb.) el tudod távolítani ezzel a varázslattal a csatamezõrõl.
"	"{Alap Akadály Törlés}

Bármely normál akadályt (fák, sziklák, stb.) el tudod távolítani ezzel a varázslattal a csatamezõrõl.
"	"{Haladó Akadály Törlés}

Bármely normál akadályt (fák, sziklák, stb.) illetve a Tûz Pajzsokat  el tudod távolítani ezzel a varázslattal a csatamezõrõl.
"	"{Mester Akadály Törlés}

Bármely normál illetve varázsolt akadályt el tudod távolítani ezzel a varázslattal a csatamezõrõl.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Fantomkép	Fantomkép	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Fantomkép}

A Fantomkép egy lényrõl készít másolatot. A másolat megszûnik, ha azt megtámadják.

1-5. szintû lényekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Alap Fantomkép}

A Fantomkép egy lényrõl készít másolatot. A másolat megszûnik, ha azt megtámadják.

1-5. szintû lényekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Haladó Fantomkép}

A Fantomkép egy lényrõl készít másolatot. A másolat megszûnik, ha azt megtámadják.

1-6. szintû lényekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	"{Mester Fantomkép}

A Fantomkép egy lényrõl készít másolatot. A másolat megszûnik, ha azt megtámadják.

Az összes lényekrõl készíthetõ Fantomkép ezzel a varázslattal.
"	 COMBAT_SPELL|CREATURE_TARGET
Tûz Elementál	Tûz Elementál	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Tûz Elementál Idézés}

A varázslattal Tûz Elementálokat lehet idézni.
"	"{Alap Tûz Elementál Idézés}

A varázslattal Tûz Elementálokat lehet idézni.
"	"{Haladó Tûz Elementál Idézés}

A varázslattal Tûz Elementálokat lehet idézni.

Körülbelül másfélszer több Tûz Elementál idézhetõ a Haladó Tûz Elementál Idézéssel, mint az Alap Tûz Elementál Idézéssel.
"	"{Mester Tûz Elementál Idézés}

A varázslattal Tûz Elementálokat lehet idézni.

Körülbelül kétszer annyi Tûz Elementál idézhetõ a Mester Tûz Elementál Idézéssel, mint az Alap Tûz Elementál Idézéssel.
"	 COMBAT_SPELL
Föld Elementál	Föld Elementál	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Föld Elementál Idézés}

A varázslattal Föld Elementálokat lehet idézni.
"	"{Alap Föld Elementál Idézés}

A varázslattal Föld Elementálokat lehet idézni.
"	"{Haladó Föld Elementál Idézés}

A varázslattal Föld Elementálokat lehet idézni.

Körülbelül másfélszer több Föld Elementál idézhetõ a Haladó Föld Elementál Idézéssel, mint az Alap Föld Elementál Idézéssel.
"	"{Mester Föld Elementál Idézés}

A varázslattal Föld Elementálokat lehet idézni.

Körülbelül kétszer annyi Föld Elementál idézhetõ a Mester Föld Elementál Idézéssel, mint az Alap Föld Elementál Idézéssel.
"	 COMBAT_SPELL
Víz Elementál	Víz Elementál	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Víz Elementál Idézés}

A varázslattal Víz Elementálokat lehet idézni.
"	"{Alap Víz Elementál Idézés}

A varázslattal Víz Elementálokat lehet idézni.
"	"{Haladó Víz Elementál Idézés}

A varázslattal Víz Elementálokat lehet idézni.

Körülbelül másfélszer több Víz Elementál idézhetõ a Haladó Víz Elementál Idézéssel, mint az Alap Víz Elementál Idézéssel.
"	"{Mester Víz Elementál Idézés}

A varázslattal Víz Elementálokat lehet idézni.

Körülbelül kétszer annyi Víz Elementál idézhetõ a Mester Víz Elementál Idézéssel, mint az Alap Víz Elementál Idézéssel.
"	 COMBAT_SPELL
Levegõ Elementál	Levegõ Elementál	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Levegõ Elementál Idézés}

A varázslattal Levegõ Elementálokat lehet idézni.
"	"{Alap Levegõ Elementál Idézés}

A varázslattal Levegõ Elementálokat lehet idézni.
"	"{Haladó Levegõ Elementál Idézés}

A varázslattal Levegõ Elementálokat lehet idézni.

Körülbelül másfélszer több Levegõ Elementál idézhetõ a Haladó Levegõ Elementál Idézéssel, mint az Alap Levegõ Elementál Idézéssel.
"	"{Mester Levegõ Elementál Idézés}

A varázslattal Levegõ Elementálokat lehet idézni.

Körülbelül kétszer annyi Levegõ Elementál idézhetõ a Mester Levegõ Elementál Idézéssel, mint az Alap Levegõ Elementál Idézéssel.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Kõvé Dermesztés	Kõvé Dermesztés	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Mérgezés	Mérgezés	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Földhöz Kötés	Földhöz Kötés	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Megbetegítés 	Megbetegítés 	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralizálás	Paralizálás	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Öregítés	Öregítés	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Halál Felhõ	Halál Felhõ	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Villámcsapás	Villámcsapás	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Segítõ Varázslatok Törlése	Segítõ Varázslatok Törlése	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Halálra Dermszetés	Halálra Dermszetés	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Savas lehelet	Savas lehelet	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
