			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Tûz Pajzs	Tûz Pajzs	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Tûz Pajzs}

A Tûz Pajzs varázslat a barátságos egységre vetve nem nyújt további védelmet, de minden olyan egységet sebez az okozott sebzés 20%-kával, amely a Tûz Pajzzsal védett egységet közelharccal megtámadja. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Tûz Pajzs}

A Tûz Pajzs varázslat a barátságos egységre vetve nem nyújt további védelmet, de minden olyan egységet sebez az okozott sebzés 20%-kával, amely a Tûz Pajzzsal védett egységet közelharccal megtámadja. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Tûz Pajzs}

A Tûz Pajzs varázslat a barátságos egységre vetve nem nyújt további védelmet, de minden olyan egységet sebez az okozott sebzés 25%-kával, amely a Tûz Pajzzsal védett egységet közelharccal megtámadja. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Tûz Pajzs}

A Tûz Pajzs varázslat a barátságos egységre vetve nem nyújt további védelmet, de minden olyan egységet sebez az okozott sebzés 30%-kával, amely a Tûz Pajzzsal védett egységet közelharccal megtámadja. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET
Levegõ Hárító	Levegõ Hárító	2		 	 	x	7	5	5	5	0	50	50	25	25	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Levegõ Hárító}

A Levegõ Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Levegõ varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Levegõ Hárító}

A Levegõ Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Levegõ varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Levegõ Hárító}

A Levegõ Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Levegõ varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Levegõ Hárító}

A Levegõ Hárító varázslat megvéd minden barátságos egységünket, csökkentve a Levegõ varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Tûz Hárító	Tûz Hárító	1	 		x	 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Tûz Hárító}

A Tûz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Tûz varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Tûz Hárító}

A Tûz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Tûz varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Tûz Hárító}

A Tûz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Tûz varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Tûz Hárító}

A Tûz Hárító varázslat megvéd minden barátságos egységet, csökkentve a Tûz varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Víz Hárító	Víz Hárító	1	 	x		 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Víz Hárító}

A Víz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Víz varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Víz Hárító}

A Víz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Víz varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Víz Hárító}

A Víz Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Víz varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Víz Hárító}

A Víz Hárító varázslat megvéd minden barátságos egységet, csökkentve a Víz varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Föld Hárító	Föld Hárító	3	x	 	 		12	9	9	9	0	50	50	25	25	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Föld Hárító}

A Föld Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Föld varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Föld Hárító}

A Föld Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Föld varázslatok sebzését 50%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Föld Hárító}

A Föld Hárító varázslat megvédi a kiválasztott egységet, csökkentve a Föld varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Föld Hárító}

A Föld Hárító varázslat megvéd minden barátságos egységet, csökkentve a Föld varázslatok sebzését 75%-kal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-mágia	Anti-mágia	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-mágia}

Az Anti-mágia varázslat megvédi a kiválasztott barátságos egységet minden 1-3 szintû varázslattól, kivéve az Eloszlatás varázslattól. Eltávolítja az 1-3 szintû negatív varázslatokat, kivéve a Gyengítõ Sugár varázslatot. Nem érinti a Fantomkép varázslattal létrehozott ismétlõdéseket. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Anti-mágia}

Az Anti-mágia varázslat megvédi a kiválasztott barátságos egységet minden 1-3 szintû varázslattól, kivéve az Eloszlatás varázslattól. Eltávolítja az 1-3 szintû negatív varázslatokat, kivéve a Gyengítõ Sugár varázslatot. Nem érinti a Fantomkép varázslattal létrehozott ismétlõdéseket. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Anti-mágia}

Az Anti-mágia varázslat megvédi a kiválasztott barátságos egységet minden 1-4 szintû varázslattól, kivéve az Eloszlatás varázslattól. Eltávolítja az 1-4 szintû negatív varázslatokat, kivéve a Gyengítõ Sugár varázslatot. Nem érinti a Fantomkép varázslattal létrehozott ismétlõdéseket. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Anti-mágia}

Az Anti-mágia varázslat megvédi a kiválasztott barátságos egységet minden varázslattól, kivéve az Eloszlatás varázslattól. Eltávolít minden negatív varázslatokat, kivéve a Gyengítõ Sugár varázslatot. Nem érinti a Fantomkép varázslattal létrehozott ismétlõdéseket. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET
Eloszlatás	Eloszlatás	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Eloszlatás}

Az Eloszlatás varázslat eltávolít minden varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és a mérgezést egy barátságos egységrõl. Figyelmen kívül hagyja a cél egységeknek a mágiával szembeni természetes immunitását.
"	"{Alap Eloszlatás}

Az Eloszlatás varázslat eltávolít minden varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és a mérgezést egy barátságos egységrõl. Figyelmen kívül hagyja a cél egységeknek a mágiával szembeni természetes immunitását.
"	"{Haladó Eloszlatás}

Az Eloszlatás varázslat eltávolít minden varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és a mérgezést egy barátságos vagy ellenséges egységrõl. Figyelmen kívül hagyja a cél egységeknek a mágiával szembeni természetes immunitását.
"	"{Mester Eloszlatás}

Az Eloszlatás varázslat eltávolít minden varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és a mérgezést a csatatéren lévõ összes egységrõl és elpusztít minden mágikus akadályt. Figyelmen kívül hagyja a cél egységeknek a mágiával szembeni természetes immunitását.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Mágikus Tükör	Mágikus Tükör	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Mágikus Tükör}

A Mágikus Tükör varázslat az esetek 20%-ában az ellenség egy véletlenszerû egységére veri vissza az ártó varázslatot. Megvéd a Hipnozitálás varázslattól. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Mágikus Tükör}

A Mágikus Tükör varázslat az esetek 20%-ában az ellenség egy véletlenszerû egységére veri vissza az ártó varázslatot. Megvéd a Hipnozitálás varázslattól. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Mágikus Tükör}

A Mágikus Tükör varázslat az esetek 30%-ában az ellenség egy véletlenszerû egységére veri vissza az ártó varázslatot. Megvéd a Hipnozitálás varázslattól. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Mágikus Tükör}

A Mágikus Tükör varázslat az esetek 40%-ában az ellenség egy véletlenszerû egységére veri vissza az ártó varázslatot. Megvéd a Hipnozitálás varázslattól. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET
Gyógyítás	Gyógyítás	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Gyógyítás}

A Gyógyítás varázslat eltávolítja az összes negatív varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és az Ent Fapásztorok földhöz kötését, és gyógyít (Varázserõ x 5 + 10) sebzés értéket a kiválasztott barátságos egységen. Helyreállítja a méreggel lecsökkentett életerõt.
"	"{Alap Gyógyítás}

A Gyógyítás varázslat eltávolítja az összes negatív varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és az Ent Fapásztorok földhöz kötését, és gyógyít (Varázserõ x 5 + 10) sebzés értéket a kiválasztott barátságos egységen. Helyreállítja a méreggel lecsökkentett életerõt.
"	"{Haladó Gyógyítás}

A Gyógyítás varázslat eltávolítja az összes negatív varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és az Ent Fapásztorok földhöz kötését, és gyógyít (Varázserõ x 5 + 20) sebzés értéket a kiválasztott barátságos egységen. Helyreállítja a méreggel lecsökkentett életerõt.
"	"{Mester Gyógyítás}

A Gyógyítás varázslat eltávolítja az összes negatív varázslatot és effektust, kivéve a Gyengítõ Sugár varázslatot és az Ent Fapásztorok földhöz kötését, és gyógyít (Varázserõ x 5 + 30) sebzés értéket minden barátságos egységen. Helyreállítja a méreggel lecsökkentett életerõt.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Feltámasztás	Feltámasztás	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Feltámasztás}

A Feltámasztás varázslat feltámasztja azokat a kiválasztott egységeket, amelyek élõ egységek a barátságos csoportból. A csata végéig élednek fel úgy, hogy visszaállítja (Varázserõ x 50 + 40) sérülés pontokat a célponton.
"	"{Alap Feltámasztás}

A Feltámasztás varázslat feltámasztja azokat a kiválasztott egységeket, amelyek élõ egységek a barátságos csoportból. A csata végéig élednek fel úgy, hogy visszaállítja (Varázserõ x 50 + 40) sérülés pontokat a célponton.
"	"{Haladó Feltámasztás}

A Feltámasztás varázslat feltámasztja azokat a kiválasztott egységeket, amelyek élõ egységek a barátságos csoportból. A csata végéig élednek fel úgy, hogy visszaállítja (Varázserõ x 50 + 80) sérülés pontokat a célponton.
"	"{Mester Feltámasztás}

A Feltámasztás varázslat feltámasztja azokat a kiválasztott egységeket, amelyek élõ egységek a barátságos csoportból. A csata végéig élednek fel úgy, hogy visszaállítja (Varázserõ x 50 + 160) sérülés pontokat a célponton.
"	 COMBAT_SPELL|CREATURE_TARGET
Halott Élesztés	Halott Élesztés	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Halott Élesztés}

A Halott Élesztés varázslat feléleszt minden elpusztított élõhalottat a kiválasztott barátságos egységekben úgy, hogy visszaállít (Varázserõ x 50 + 30) sérülés pontot a célponton.
"	"{Alap Halott Élesztés}

A Halott Élesztés varázslat feléleszt minden elpusztított élõhalottat a kiválasztott barátságos egységekben úgy, hogy visszaállít (Varázserõ x 50 + 30) sérülés pontot a célponton.
"	"{Haladó Halott Élesztés}

A Halott Élesztés varázslat feléleszt minden elpusztított élõhalottat a kiválasztott barátságos egységekben úgy, hogy visszaállít (Varázserõ x 50 + 60) sérülés pontot a célponton.
"	"{Mester Halott Élesztés}

A Halott Élesztés varázslat feléleszt minden elpusztított élõhalottat a kiválasztott barátságos egységekben úgy, hogy visszaállít (Varázserõ x 50 + 160) sérülés pontot a célponton.
"	 COMBAT_SPELL|CREATURE_TARGET
Áldozás	Áldozás	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Áldozás}

Az Áldozás varázslat elõször egy saját egységet pusztít el, azután egy másikat kiválasztva a feltámadás erejét használja fel ((Varázserõ + Feláldozott sereg életpontjai + 3) x Feláldozott egységek száma) sérülés értékkel támasztja fel a kijelölt egységet.
"	"{Alap Áldozás}

Az Áldozás varázslat elõször egy saját egységet pusztít el, azután egy másikat kiválasztva a feltámadás erejét használja fel ((Varázserõ + Feláldozott sereg életpontjai + 3) x Feláldozott egységek száma) sérülés értékkel támasztja fel a kijelölt egységet.
"	"{Haladó Áldozás}

Az Áldozás varázslat elõször egy saját egységet pusztít el, azután egy másikat kiválasztva a feltámadás erejét használja fel ((Varázserõ + Feláldozott sereg életpontjai + 6) x Feláldozott egységek száma) sérülés értékkel támasztja fel a kijelölt egységet.
"	"{Mester Áldozás}

Az Áldozás varázslat elõször egy saját egységet pusztít el, azután egy másikat kiválasztva a feltámadás erejét használja fel ((Varázserõ + Feláldozott sereg életpontjai + 10) x Feláldozott egységek száma) sérülés értékkel támasztja fel a kijelölt egységet.
"	 COMBAT_SPELL|CREATURE_TARGET
Áldás	Áldás	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Áldás}

Az Áldás varázslat arra készteti a kiválasztott barátságos egységet, hogy maximális sebzést okozzon a harcban. Eltávolítja az Átok varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Áldás}

Az Áldás varázslat arra készteti a kiválasztott barátságos egységet, hogy maximális sebzést okozzon a harcban. Eltávolítja az Átok varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Áldás}

Az Áldás varázslat arra készteti a kiválasztott barátságos egységet, hogy 1-gyel nagyobb sebzést okozzon, mint a normál maximális sebzés a harcban. Eltávolítja az Átok varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Áldás}

Az Áldás varázslat arra késztet minden barátságos egységet, hogy 1-gyel nagyobb sebzést okozzon, mint a normál maximális sebzés a harcban. Eltávolítja az Átok varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Átok	Átok	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Átok}

Az Átok varázslat arra készteti a kiválasztott ellenséges egységet, hogy csak minimális sebzést okozzon a harcban. Eltávolítja az Áldás varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Átok}

Az Átok varázslat arra készteti a kiválasztott ellenséges egységet, hogy csak minimális sebzést okozzon a harcban. Eltávolítja az Áldás varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Átok}

Az Átok varázslat arra készteti a kiválasztott ellenséges egységet, hogy 1-gyel kisebb sebzést okozzon, mint a minimális sebzés a harcban. Eltávolítja az Áldás varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Átok}

Az Átok varázslat arra késztet minden ellenséges egységet, hogy 1-gyel kisebb sebzést okozzon, mint a minimális sebzés a harcban. Eltávolítja az Áldás varázslatot. Nincs hatással az élõhalottakra. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Vérszomj	Vérszomj	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Vérszomj}

A Vérszomj varázslat 3-mal növeli a kiválasztott barátságos egység közelharci támadás erejét. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Vérszomj}

A Vérszomj varázslat 3-mal növeli a kiválasztott barátságos egység közelharci támadás erejét. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Vérszomj}

A Vérszomj varázslat 6-tal növeli a kiválasztott barátságos egység közelharci támadás erejét. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Vérszomj}

A Vérszomj varázslat 6-tal növeli minden barátságos egység közelharci támadás erejét. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Pontosság	Pontosság	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Pontosság}

A Pontosság varázslat a távoli támadás során a kiválasztott barátságos egység számára +3 támadó erõvel nagyobb sebzést garantál. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Pontosság}

A Pontosság varázslat a távoli támadás során a kiválasztott barátságos egység számára +3 támadó erõvel nagyobb sebzést garantál. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Pontosság}

A Pontosság varázslat a távoli támadás során a kiválasztott barátságos egység számára +6 támadó erõvel nagyobb sebzést garantál. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Pontosság}

A Pontosság varázslat minden barátságos egység számára +6 támadó erõvel nagyobb sebzést garantál. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyengeség	Gyengeség	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Gyengeség}

A Gyengeség varázslat a kiválasztott ellenséges egység támadási erejét -3 támadó erõvel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Gyengeség}

A Gyengeség varázslat a kiválasztott ellenséges egység támadási erejét -3 támadó erõvel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Gyengeség}

A Gyengeség varázslat a kiválasztott ellenséges egység támadási erejét -6 támadó erõvel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Gyengeség}

A Gyengeség varázslat minden ellenséges egység támadási erejét -6 támadó erõvel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Kõbõr	Kõbõr	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Kõbõr}

A Kõbõr varázslat növeli a kiválasztott barátságos egység védelmét 3-mal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Kõbõr}

A Kõbõr varázslat növeli a kiválasztott barátságos egység védelmét 3-mal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Kõbõr}

A Kõbõr varázslat növeli a kiválasztott barátságos egység védelmét 6-tal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Kõbõr}

A Kõbõr varázslat növeli minden barátságos egység védelmét 6-tal. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyengítõ Sugár	Gyengítõ Sugár	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Gyengítõ Sugár}

A Gyengítõ Sugár varázslat a kiválasztott ellenséges egység védelmét 3-mal csökkenti. Egyetlen ellenséget többször is célba vehetünk ezzel a varázslattal. Az Eloszlatás varázslat hatástalan ezzel a varázslattal szemben. A hatás az egység halála és feltámadása után is fennmarad. A varázslat idõtartama korlátlan.
"	"{Alap Gyengítõ Sugár}

A Gyengítõ Sugár varázslat a kiválasztott ellenséges egység védelmét 3-mal csökkenti. Egyetlen ellenséget többször is célba vehetünk ezzel a varázslattal. Az Eloszlatás varázslat hatástalan ezzel a varázslattal szemben. A hatás az egység halála és feltámadása után is fennmarad. A varázslat idõtartama korlátlan.
"	"{Haladó Gyengítõ Sugár}

A Gyengítõ Sugár varázslat a kiválasztott ellenséges egység védelmét 4-gyel csökkenti. Egyetlen ellenséget többször is célba vehetünk ezzel a varázslattal. Az Eloszlatás varázslat hatástalan ezzel a varázslattal szemben. A hatás az egység halála és feltámadása után is fennmarad. A varázslat idõtartama korlátlan.
"	"{Mester Gyengítõ Sugár}

A Gyengítõ Sugár varázslat a kiválasztott ellenséges egység védelmét 5-tel csökkenti. Egyetlen ellenséget többször is célba vehetünk ezzel a varázslattal. Az Eloszlatás varázslat hatástalan ezzel a varázslattal szemben. A hatás az egység halála és feltámadása után is fennmarad. A varázslat idõtartama korlátlan.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Imádság	Imádság	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Alap Imádság}

Az Imádság Varázslat 2-vel megnöveli a kiválasztott barátságos egység támadó és védekezõ képességét és sebességét is. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Imádság}

Az Imádság Varázslat 2-vel megnöveli a kiválasztott barátságos egység támadó és védekezõ képességét és sebességét is. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Imádság}

Az Imádság Varázslat 4-gyel megnöveli a kiválasztott barátságos egység támadó és védekezõ képességét és sebességét is. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Imádság}

Az Imádság Varázslat 4-gyel megnöveli minden barátságos egység támadó és védekezõ képességét és sebességét is. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Jókedv	Jókedv	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Jókedv}

A Jókedv varázslat egy elme varázslat. A kiválasztott barátságos egység hangulatát 1-gyel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Jókedv}

A Jókedv varázslat egy elme varázslat. A kiválasztott barátságos egység hangulatát 1-gyel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Jókedv}

A Jókedv varázslat egy elme varázslat. A kiválasztott barátságos egység hangulatát 2-vel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Jókedv}

A Jókedv varázslat egy elme varázslat. Minden barátságos egység hangulatát 2-vel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Bánat	Bánat	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Bánat}

A Bánat varázslat egy elme varázslat. A kiválasztott egység hangulatát 1-gyel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Bánat}

A Bánat varázslat egy elme varázslat. A kiválasztott egység hangulatát 1-gyel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Bánat}

A Bánat varázslat egy elme varázslat. A kiválasztott egység hangulatát 2-vel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Bánat}

A Bánat varázslat egy elme varázslat. Minden ellenséges egység hangulatát 2-vel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Szerencse	Szerencse	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Szerencse}

A Szerencse varázslat a kiválasztott barátságos egység szerencséjét 1-gyel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Szerencse}

A Szerencse varázslat a kiválasztott barátságos egység szerencséjét 1-gyel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Szerencse}

A Szerencse varázslat a kiválasztott barátságos egység szerencséjét 2-vel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Szerencse}

A Szerencse varázslat minden barátságos egység szerencséjét 2-vel növeli. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Balszerencse	Balszerencse	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Balszerencse}

A Balszerencse varázslat a kiválasztott ellenséges egység szerencséjét 1-gyel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Balszerencse}

A Balszerencse varázslat a kiválasztott ellenséges egység szerencséjét 1-gyel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Balszerencse}

A Balszerencse varázslat a kiválasztott ellenséges egység szerencséjét 2-vel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Balszerencse}

A Balszerencse varázslat minden ellenséges egység szerencséjét 2-vel csökkenti. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gyorsítás	Gyorsítás	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Gyorsítás}

A Gyorsítás varázslat növeli a kiválasztott barátságos egység sebességét 3-mal. Eltávolítja a Lassítás varázslatot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Alap Gyorsítás}

A Gyorsítás varázslat növeli a kiválasztott barátságos egység sebességét 3-mal. Eltávolítja a Lassítás varázslatot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Haladó Gyorsítás}

A Gyorsítás varázslat növeli a kiválasztott barátságos egység sebességét 5-tel. Eltávolítja a Lassítás varázslatot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	"{Mester Gyorsítás}

A Gyorsítás varázslat növeli minden barátságos egység sebességét 5-tel. Eltávolítja a Lassítás varázslatot. Varázserõ száma szerinti körig van hatása a varázslatnak.
"	 COMBAT_SPELL|CREATURE_TARGET_2
